index,name,full_name,birth,death,birth_city,birth_province,succession,reign_start,reign_end,cause,killer,dynasty,era
0,Caligula,GAIVS IVLIVS CAESAR AVGVSTVS GERMANICVS,0012-08-31T00:53:28+00:53,0041-01-24T00:53:28+00:53,Antitum,Italia,Birthright,0037-03-18T00:53:28+00:53,0041-01-24T00:53:28+00:53,Assassination,Senate,Julio-Claudian,Principate
1,Claudius,TIBERIVS CLAVDIVS CAESAR AVGVSTVS GERMANICVS,0009-08-01T00:53:28+00:53,0054-10-13T00:53:28+00:53,Lugdunum,Gallia Lugdunensis,Birthright,0041-01-25T00:53:28+00:53,0054-10-13T00:53:28+00:53,Assassination,Wife,Julio-Claudian,Principate
2,Nero,NERO CLAVDIVS CAESAR AVGVSTVS GERMANICVS,0037-12-15T00:53:28+00:53,0068-06-09T00:53:28+00:53,Antitum,Italia,Birthright,0054-10-13T00:53:28+00:53,0068-06-09T00:53:28+00:53,Suicide,Senate,Julio-Claudian,Principate
3,Galba,SERVIVS SVLPICIVS GALBA CAESAR AVGVSTVS,0002-12-24T00:53:28+00:53,0069-01-15T00:53:28+00:53,Terracina,Italia,Seized Power,0068-06-08T00:53:28+00:53,0069-01-15T00:53:28+00:53,Assassination,Other Emperor,Flavian,Principate
4,Otho,MARCVS SALVIVS OTHO CAESAR AVGVSTVS,0032-04-28T00:53:28+00:53,0069-04-16T00:53:28+00:53,Terentinum,Italia,Appointment by Praetorian Guard,0069-01-15T00:53:28+00:53,0069-04-16T00:53:28+00:53,Suicide,Other Emperor,Flavian,Principate
5,Vitellius,AVLVS VITELLIVS GERMANICVS AVGVSTVS,0015-09-24T00:53:28+00:53,0069-12-20T00:53:28+00:53,Rome,Italia,Seized Power,0069-04-17T00:53:28+00:53,0069-12-20T00:53:28+00:53,Assassination,Other Emperor,Flavian,Principate
6,Vespasian,TITVS FLAVIVS CAESAR VESPASIANVS AVGVSTVS,0009-11-17T00:53:28+00:53,0079-06-24T00:53:28+00:53,Falacrine,Italia,Seized Power,0069-12-21T00:53:28+00:53,0079-06-24T00:53:28+00:53,Natural Causes,Disease,Flavian,Principate
7,Titus,TITVS FLAVIVS CAESAR VESPASIANVS AVGVSTVS,0039-12-30T00:53:28+00:53,0081-09-13T00:53:28+00:53,Rome,Italia,Birthright,0079-06-24T00:53:28+00:53,0081-09-13T00:53:28+00:53,Natural Causes,Disease,Flavian,Principate
8,Domitian,TITVS FLAVIVS CAESAR DOMITIANVS AVGVSTVS,0051-10-24T00:53:28+00:53,0096-09-18T00:53:28+00:53,Rome,Italia,Birthright,0081-09-14T00:53:28+00:53,0096-09-18T00:53:28+00:53,Assassination,Court Officials,Flavian,Principate
9,Nerva,MARCVS COCCEIVS NERVA CAESAR AVGVSTVS,0030-11-08T00:53:28+00:53,0098-01-27T00:53:28+00:53,Narni,Italia,Appointment by Senate,0096-09-18T00:53:28+00:53,0098-01-27T00:53:28+00:53,Natural Causes,Disease,Nerva-Antonine,Principate
